a 	 ఒక 	(Oka)	
think over 	 ఆలోచించండి 	(Ālōcin̄caṇḍi)	
think up 	 ఆలోచించు 	(Ālōcin̄cu)	
third 	 మూడవది 	(Mūḍavadi)	
thirsty 	 దాహం వేసింది 	(Dāhaṁ vēsindi)	
thirteen 	 పదమూడు 	(Padamūḍu)	
thirteenth 	 పదమూడవ 	(Padamūḍava)	
thirtieth 	 ముప్పైవది 	(Muppaivadi)	
thirty 	 ముప్పై 	(Muppai)	
this 	 ఇది 	(Idi)	
thorough 	 క్షుణ్ణంగా 	(Kṣuṇṇaṅgā)	
thoroughly 	 పూర్తిగా 	(Pūrtigā)	
though 	 అయితే 	(Ayitē)	
thought 	 అనుకున్నాడు 	(Anukunnāḍu)	
thousand 	 వెయ్యి 	(Veyyi)	
thousandth 	 వెయ్యవ 	(Veyyava)	
thread 	 దారం 	(Dāraṁ)	
threat 	 బెదిరింపు 	(Bedirimpu)	
threaten 	 బెదిరిస్తారు 	(Bediristāru)	
threatening 	 బెదిరింపు 	(Bedirimpu)	
three 	 మూడు 	(Mūḍu)	
throat 	 గొంతు 	(Gontu)	
through 	 ద్వారా 	(Dvārā)	
throughout 	 అంతటా 	(Antaṭā)	
throw 	 త్రో 	(Trō)	
throw away 	 దూరంగా త్రో 	(Dūraṅgā trō)	
throw out 	 విసిరివేయండి 	(Visirivēyaṇḍi)	
thumb 	 బొటనవేలు 	(Boṭanavēlu)	
Thursday 	 గురువారం 	(Guruvāraṁ)	
thus 	 అందువలన 	(Anduvalana)	
ticket 	 టిక్కెట్టు 	(Ṭikkeṭṭu)	
tidy 	 చక్కనైన 	(Cakkanaina)	
tie 	 టై 	(Ṭai)	
tie up 	 కట్టాలి 	(Kaṭṭāli)	
tight 	 గట్టిగా 	(Gaṭṭigā)	
tightly 	 గట్టిగా 	(Gaṭṭigā)	
till 	 వరకు 	(Varaku)	
time 	 సమయం 	(Samayaṁ)	
timetable 	 కాలపట్టిక 	(Kālapaṭṭika)	
tin 	 తగరం 	(Tagaraṁ)	
tiny 	 చిన్న 	(Cinna)	
tip 	 చిట్కా 	(Ciṭkā)	
tip over 	 పైగా చిట్కా 	(Paigā ciṭkā)	
tire 	 టైర్ 	(Ṭair)	
tired 	 అలసిపోయాడు 	(Alasipōyāḍu)	
tire out 	 అలసిపోతుంది 	(Alasipōtundi)	
tiring 	 అలసిపోతుంది 	(Alasipōtundi)	
title 	 శీర్షిక 	(Śīrṣika)	
to 	 కు 	(Ku)	
today 	 నేడు 	(Nēḍu)	
toe 	 బొటనవేలు 	(Boṭanavēlu)	
together 	 కలిసి 	(Kalisi)	
toilet 	 టాయిలెట్ 	(Ṭāyileṭ)	
tomato 	 టమోటా 	(Ṭamōṭā)	
tomorrow 	 రేపు 	(Rēpu)	
ton 	 టన్ను 	(Ṭannu)	
tone 	 స్వరం 	(Svaraṁ)	
tongue 	 నాలుక 	(Nāluka)	
tonight 	 ఈ రాత్రి 	(Ī rātri)	
tonne 	 టన్ను 	(Ṭannu)	
too 	 చాలా 	(Cālā)	
tool 	 సాధనం 	(Sādhanaṁ)	
tooth 	 పంటి 	(Paṇṭi)	
top 	 టాప్ 	(Ṭāp)	
topic 	 అంశం 	(Anśaṁ)	
total 	 మొత్తం 	(Mottaṁ)	
totally 	 పూర్తిగా 	(Pūrtigā)	
touch 	 స్పర్శ 	(Sparśa)	
tough 	 కఠినమైన 	(Kaṭhinamaina)	
tour 	 పర్యటన 	(Paryaṭana)	
tourist 	 పర్యాటకుడు 	(Paryāṭakuḍu)	
towards 	 వైపు 	(Vaipu)	
towel 	 టవల్ 	(Ṭaval)	
tower 	 టవర్ 	(Ṭavar)	
town 	 పట్టణం 	(Paṭṭaṇaṁ)	
toy 	 బొమ్మ 	(Bom'ma)	
trace 	 జాడ 	(Jāḍa)	
track 	 ట్రాక్ 	(Ṭrāk)	
trade 	 వాణిజ్యం 	(Vāṇijyaṁ)	
trading 	 వర్తకం 	(Vartakaṁ)	
tradition 	 సంప్రదాయం 	(Sampradāyaṁ)	
traditional 	 సంప్రదాయ 	(Sampradāya)	
traditionally 	 సాంప్రదాయకంగా 	(Sāmpradāyakaṅgā)	
traffic 	 ట్రాఫిక్ 	(Ṭrāphik)	
train 	 రైలు 	(Railu)	
training 	 శిక్షణ 	(Śikṣaṇa)	
transfer 	 బదిలీ 	(Badilī)	
transform 	 రూపాంతరము 	(Rūpāntaramu)	
translate 	 అనువదించు 	(Anuvadin̄cu)	
translation 	 అనువాదం 	(Anuvādaṁ)	
transparent 	 పారదర్శకమైన 	(Pāradarśakamaina)	
transport 	 రవాణా 	(Ravāṇā)	
transportation 	 రవాణా 	(Ravāṇā)	
trap 	 ఉచ్చు 	(Uccu)	
travel 	 ప్రయాణం 	(Prayāṇaṁ)	
traveller 	 యాత్రికుడు 	(Yātrikuḍu)	
treat 	 చికిత్స 	(Cikitsa)	
treatment 	 చికిత్స 	(Cikitsa)	
tree 	 చెట్టు 	(Ceṭṭu)	
trend 	 ధోరణి 	(Dhōraṇi)	
trial 	 విచారణ 	(Vicāraṇa)	
triangle 	 త్రిభుజం 	(Tribhujaṁ)	
trick 	 ఉపాయం 	(Upāyaṁ)	
trip 	 యాత్ర 	(Yātra)	
tropical 	 ఉష్ణమండల 	(Uṣṇamaṇḍala)	
trouble 	 ఇబ్బంది 	(Ibbandi)	
trousers 	 ప్యాంటు 	(Pyāṇṭu)	
truck 	 ట్రక్ 	(Ṭrak)	
true 	 నిజం 	(Nijaṁ)	
truly 	 నిజంగా 	(Nijaṅgā)	
trust 	 నమ్మకం 	(Nam'makaṁ)	
truth 	 నిజం 	(Nijaṁ)	
try 	 ప్రయత్నించండి 	(Prayatnin̄caṇḍi)	
try on 	 ప్రయత్నించండి 	(Prayatnin̄caṇḍi)	
try out 	 ప్రయత్నించండి 	(Prayatnin̄caṇḍi)	
tube 	 గొట్టం 	(Goṭṭaṁ)	
Tuesday 	 మంగళవారం 	(Maṅgaḷavāraṁ)	
tune 	 ట్యూన్ 	(Ṭyūn)	
tunnel 	 సొరంగం 	(Soraṅgaṁ)	
turn 	 మలుపు 	(Malupu)	
turn back 	 వెనక్కి తిరగండి 	(Venakki tiragaṇḍi)	
turn down 	 తిరస్కరించు 	(Tiraskarin̄cu)	
turn into 	 లోకి మారుతాయి 	(Lōki mārutāyi)	
turn off 	 ఆఫ్ చేయండి 	(Āph cēyaṇḍi)	
turn on 	 ఆన్ చేయండి 	(Ān cēyaṇḍi)	
turn out 	 మారతాయి 	(Māratāyi)	
turn over 	 తిరగండి 	(Tiragaṇḍi)	
turn round 	 చుట్టూ తిరగండి 	(Cuṭṭū tiragaṇḍi)	
turn to 	 వైపు తిరగండి 	(Vaipu tiragaṇḍi)	
turn up 	 తిరగండి 	(Tiragaṇḍi)	
TV 	 టీవీ 	(Ṭīvī)	
twelfth 	 పన్నెండవది 	(Panneṇḍavadi)	
twelve 	 పన్నెండు 	(Panneṇḍu)	
twentieth 	 ఇరవయ్యవది 	(Iravayyavadi)	
twenty 	 ఇరవై 	(Iravai)	
twice 	 రెండుసార్లు 	(Reṇḍusārlu)	
twin 	 జంట 	(Jaṇṭa)	
twist 	 ట్విస్ట్ 	(Ṭvisṭ)	
twisted 	 మెలికలు తిరిగింది 	(Melikalu tirigindi)	
two 	 రెండు 	(Reṇḍu)	
type 	 రకం 	(Rakaṁ)	
typical 	 విలక్షణమైనది 	(Vilakṣaṇamainadi)	
typically 	 సాధారణంగా 	(Sādhāraṇaṅgā)	
tyre 	 టైర్ 	(Ṭair)	
the unemployed 	 నిరుద్యోగులు 	(Nirudyōgulu)	
the unexpected 	 ఊహించనిది 	(Ūhin̄canidi)	
ugly 	 వికారమైన 	(Vikāramaina)	
ultimate 	 అంతిమ 	(Antima)	
ultimately 	 చివరికి 	(Civariki)	
umbrella 	 గొడుగు 	(Goḍugu)	
unable 	 కుదరదు 	(Kudaradu)	
unacceptable 	 ఆమోదయోగ్యం కానిది 	(Āmōdayōgyaṁ kānidi)	
uncertain 	 అనిశ్చిత 	(Aniścita)	
uncle 	 మామ 	(Māma)	
uncomfortable 	 అసౌకర్యంగా 	(Asaukaryaṅgā)	
unconscious 	 అపస్మారక స్థితి 	(Apasmāraka sthiti)	
uncontrolled 	 నియంత్రణ లేని 	(Niyantraṇa lēni)	
under 	 కింద 	(Kinda)	
underground 	 భూగర్భంలో 	(Bhūgarbhanlō)	
underneath 	 కింద 	(Kinda)	
understand 	 అర్థం చేసుకుంటారు 	(Arthaṁ cēsukuṇṭāru)	
understanding 	 అవగాహన 	(Avagāhana)	
underwater 	 నీటి అడుగున 	(Nīṭi aḍuguna)	
underwear 	 లోదుస్తులు 	(Lōdustulu)	
undo 	 అన్డు 	(Anḍu)	
unemployed 	 నిరుద్యోగులు 	(Nirudyōgulu)	
unemployment 	 నిరుద్యోగం 	(Nirudyōgaṁ)	
unexpected 	 ఊహించని 	(Ūhin̄cani)	
unexpectedly 	 ఊహించని విధంగా 	(Ūhin̄cani vidhaṅgā)	
unfair 	 అన్యాయం 	(An'yāyaṁ)	
unfairly 	 అన్యాయంగా 	(An'yāyaṅgā)	
unfortunate 	 దురదృష్టకరం 	(Duradr̥ṣṭakaraṁ)	
unfortunately 	 దురదృష్టవశాత్తు 	(Duradr̥ṣṭavaśāttu)	
unfriendly 	 స్నేహరహితమైనది 	(Snēharahitamainadi)	
unhappy 	 సంతోషం లేని 	(Santōṣaṁ lēni)	
uniform 	 ఏకరీతి 	(Ēkarīti)	
unimportant 	 ప్రాముఖ్యత లేని 	(Prāmukhyata lēni)	
union 	 యూనియన్ 	(Yūniyan)	
unique 	 ఏకైక 	(Ēkaika)	
unit 	 యూనిట్ 	(Yūniṭ)	
unite 	 ఏకం చేయండి 	(Ēkaṁ cēyaṇḍi)	
united 	 ఏకమయ్యారు 	(Ēkamayyāru)	
universe 	 విశ్వం 	(Viśvaṁ)	
university 	 విశ్వవిద్యాలయం 	(Viśvavidyālayaṁ)	
unkind 	 దయలేని 	(Dayalēni)	
unknown 	 తెలియని 	(Teliyani)	
unless 	 తప్ప 	(Tappa)	
unlike 	 కాకుండా 	(Kākuṇḍā)	
unlikely 	 అసంభవం 	(Asambhavaṁ)	
unload 	 దించు 	(Din̄cu)	
unlucky 	 దురదృష్టవంతుడు 	(Duradr̥ṣṭavantuḍu)	
unnecessary 	 అనవసరమైన 	(Anavasaramaina)	
unpleasant 	 అసహ్యకరమైన 	(Asahyakaramaina)	
unreasonable 	 అసమంజసమైన 	(Asaman̄jasamaina)	
unsteady 	 అస్థిరమైన 	(Asthiramaina)	
unsuccessful 	 విజయవంతం కాలేదు 	(Vijayavantaṁ kālēdu)	
untidy 	 అపరిశుభ్రమైన 	(Apariśubhramaina)	
until 	 వరకు 	(Varaku)	
unusual 	 అసాధారణమైన 	(Asādhāraṇamaina)	
unusually 	 అసాధారణంగా 	(Asādhāraṇaṅgā)	
unwilling 	 ఇష్టంలేని 	(Iṣṭanlēni)	
unwillingly 	 ఇష్టం లేకుండా 	(Iṣṭaṁ lēkuṇḍā)	
up 	 పైకి 	(Paiki)	
upon 	 మీద 	(Mīda)	
upper 	 ఎగువ 	(Eguva)	
upset 	 కలత చెందాడు 	(Kalata cendāḍu)	
upsetting 	 కలత చెందుతోంది 	(Kalata cendutōndi)	
upside down 	 తలక్రిందులుగా 	(Talakrindulugā)	
upstairs 	 మేడమీద 	(Mēḍamīda)	
upward 	 పైకి 	(Paiki)	
upwards 	 పైకి 	(Paiki)	
urban 	 పట్టణ 	(Paṭṭaṇa)	
urge 	 కోరండి 	(Kōraṇḍi)	
urgent 	 అత్యవసరము 	(Atyavasaramu)	
us 	 మాకు 	(Māku)	
use 	 ఉపయోగించండి 	(Upayōgin̄caṇḍi)	
used 1 	 ఉపయోగించిన 1 	(Upayōgin̄cina 1)	
used 2 	 ఉపయోగించిన 2 	(Upayōgin̄cina 2)	
used to 	 ఉపయోగిస్తారు 	(Upayōgistāru)	
useful 	 ఉపయోగకరమైన 	(Upayōgakaramaina)	
useless 	 పనికిరానిది 	(Panikirānidi)	
user 	 వినియోగదారు 	(Viniyōgadāru)	
use up 	 అప్ ఉపయోగించండి 	(Ap upayōgin̄caṇḍi)	
usual 	 సాధారణ 	(Sādhāraṇa)	
usually 	 సాధారణంగా 	(Sādhāraṇaṅgā)	
vacation 	 సెలవు 	(Selavu)	
valid 	 చెల్లుతుంది 	(Cellutundi)	
valley 	 లోయ 	(Lōya)	
valuable 	 విలువైన 	(Viluvaina)	
value 	 విలువ 	(Viluva)	
van 	 వ్యాను 	(Vyānu)	
variation 	 వైవిధ్యం 	(Vaividhyaṁ)	
varied 	 వైవిధ్యమైనది 	(Vaividhyamainadi)	
variety 	 వివిధ 	(Vividha)	
various 	 వివిధ 	(Vividha)	
vary 	 మారుతూ ఉంటాయి 	(Mārutū uṇṭāyi)	
vast 	 విశాలమైనది 	(Viśālamainadi)	
vegetable 	 కూరగాయల 	(Kūragāyala)	
vehicle 	 వాహనం 	(Vāhanaṁ)	
venture 	 వెంచర్ 	(Ven̄car)	
version 	 వెర్షన్ 	(Verṣan)	
vertical 	 నిలువు 	(Niluvu)	
very 	 చాలా 	(Cālā)	
via 	 ద్వారా 	(Dvārā)	
victim 	 బాధితుడు 	(Bādhituḍu)	
victory 	 విజయం 	(Vijayaṁ)	
video 	 వీడియో 	(Vīḍiyō)	
view 	 వీక్షణ 	(Vīkṣaṇa)	
village 	 గ్రామం 	(Grāmaṁ)	
violence 	 హింస 	(Hinsa)	
violent 	 హింసాత్మకమైన 	(Hinsātmakamaina)	
violently 	 హింసాత్మకంగా 	(Hinsātmakaṅgā)	
virtually 	 వాస్తవంగా 	(Vāstavaṅgā)	
virus 	 వైరస్ 	(Vairas)	
visible 	 కనిపించే 	(Kanipin̄cē)	
vision 	 దృష్టి 	(Dr̥ṣṭi)	
visit 	 సందర్శించండి 	(Sandarśin̄caṇḍi)	
visitor 	 సందర్శకుడు 	(Sandarśakuḍu)	
vital 	 ప్రాణాధారమైన 	(Prāṇādhāramaina)	
vocabulary 	 పదజాలం 	(Padajālaṁ)	
voice 	 వాయిస్ 	(Vāyis)	
volume 	 వాల్యూమ్ 	(Vālyūm)	
vote 	 ఓటు వేయండి 	(Ōṭu vēyaṇḍi)	
wage 	 వేతనం 	(Vētanaṁ)	
waist 	 నడుము 	(Naḍumu)	
wait 	 వేచి ఉండండి 	(Vēci uṇḍaṇḍi)	
waiter 	 వెయిటర్ 	(Veyiṭar)	
wake 	 మేల్కొలపండి 	(Mēlkolapaṇḍi)	
walk 	 నడవండి 	(Naḍavaṇḍi)	
walking 	 నడవడం 	(Naḍavaḍaṁ)	
walk out 	 బయటకు నడవండి 	(Bayaṭaku naḍavaṇḍi)	
walk up 	 పైకి నడవండి 	(Paiki naḍavaṇḍi)	
wall 	 గోడ 	(Gōḍa)	
wallet 	 వాలెట్ 	(Vāleṭ)	
wander 	 సంచరించు 	(San̄carin̄cu)	
want 	 కావాలి 	(Kāvāli)	
war 	 యుద్ధం 	(Yud'dhaṁ)	
warm 	 వెచ్చని 	(Veccani)	
warmth 	 వెచ్చదనం 	(Veccadanaṁ)	
warm up 	 వేడెక్కుతుంది 	(Vēḍekkutundi)	
warn 	 హెచ్చరిస్తారు 	(Heccaristāru)	
warning 	 హెచ్చరిక 	(Heccarika)	
wash 	 కడగడం 	(Kaḍagaḍaṁ)	
wash away 	 కొట్టుకుపోతాయి 	(Koṭṭukupōtāyi)	
washing 	 కడగడం 	(Kaḍagaḍaṁ)	
wash off 	 కడగడం 	(Kaḍagaḍaṁ)	
wash out 	 వాష్ అవుట్ 	(Vāṣ avuṭ)	
wash up 	 కడగడం 	(Kaḍagaḍaṁ)	
waste 	 వ్యర్థం 	(Vyarthaṁ)	
watch 	 వాచ్ 	(Vāc)	
watch out 	 జాగ్రత్తగా ఉండు 	(Jāgrattagā uṇḍu)	
watch out for 	 కోసం చూడండి 	(Kōsaṁ cūḍaṇḍi)	
water 	 నీరు 	(Nīru)	
wave 	 అల 	(Ala)	
way 	 మార్గం 	(Mārgaṁ)	
we 	 మేము 	(Mēmu)	
weak 	 బలహీనమైన 	(Balahīnamaina)	
weakness 	 బలహీనత 	(Balahīnata)	
wealth 	 సంపద 	(Sampada)	
weapon 	 ఆయుధం 	(Āyudhaṁ)	
wear 	 ధరిస్తారు 	(Dharistāru)	
wear away 	 ధరిస్తారు 	(Dharistāru)	
wear off 	 ధరిస్తారు 	(Dharistāru)	
wear out 	 అరిగిపోతాయి 	(Arigipōtāyi)	
weather 	 వాతావరణం 	(Vātāvaraṇaṁ)	
web 	 వెబ్ 	(Veb)	
website 	 వెబ్సైట్ 	(Vebsaiṭ)	
wedding 	 పెళ్లి 	(Peḷli)	
Wednesday 	 బుధవారం 	(Budhavāraṁ)	
week 	 వారం 	(Vāraṁ)	
weekend 	 వారాంతం 	(Vārāntaṁ)	
weekly 	 వారానికోసారి 	(Vārānikōsāri)	
weigh 	 బరువు 	(Baruvu)	
weight 	 బరువు 	(Baruvu)	
welcome 	 స్వాగతం 	(Svāgataṁ)	
well 	 బాగా 	(Bāgā)	
well known 	 బాగా తెలిసిన 	(Bāgā telisina)	
west 	 పడమర 	(Paḍamara)	
western 	 పశ్చిమ 	(Paścima)	
wet 	 తడి 	(Taḍi)	
what 	 ఏమి 	(Ēmi)	
whatever 	 ఏమైనా 	(Ēmainā)	
wheel 	 చక్రం 	(Cakraṁ)	
when 	 ఎప్పుడు 	(Eppuḍu)	
whenever 	 ఎప్పుడైనా 	(Eppuḍainā)	
where 	 ఎక్కడ 	(Ekkaḍa)	
whereas 	 కాగా 	(Kāgā)	
wherever 	 ఎక్కడైనా 	(Ekkaḍainā)	
whether 	 లేదో 	(Lēdō)	
which 	 ఏది 	(Ēdi)	
while 	 అయితే 	(Ayitē)	
whisper 	 గుసగుసలు 	(Gusagusalu)	
whistle 	 విజిల్ 	(Vijil)	
white 	 తెలుపు 	(Telupu)	
who 	 WHO 	(WHO)	
whoever 	 ఎవరైనా 	(Evarainā)	
whole 	 మొత్తం 	(Mottaṁ)	
whom 	 ఎవరిని 	(Evarini)	
whose 	 ఎవరిది 	(Evaridi)	
why 	 ఎందుకు 	(Enduku)	
wide 	 వెడల్పు 	(Veḍalpu)	
widely 	 విస్తృతంగా 	(Vistr̥taṅgā)	
width 	 వెడల్పు 	(Veḍalpu)	
wife 	 భార్య 	(Bhārya)	
wild 	 అడవి 	(Aḍavi)	
wildly 	 క్రూరంగా 	(Krūraṅgā)	
will 	 రెడీ 	(Reḍī)	
willing 	 సిద్ధమయ్యారు 	(Sid'dhamayyāru)	
willingly 	 ఇష్టపూర్వకంగా 	(Iṣṭapūrvakaṅgā)	
willingness 	 సుముఖత 	(Sumukhata)	
win 	 గెలుస్తారు 	(Gelustāru)	
wind 1 	 గాలి 1 	(Gāli 1)	
wind 2 	 గాలి 2 	(Gāli 2)	
window 	 కిటికీ 	(Kiṭikī)	
wine 	 వైన్ 	(Vain)	
wing 	 రెక్క 	(Rekka)	
winner 	 విజేత 	(Vijēta)	
winning 	 గెలుస్తోంది 	(Gelustōndi)	
winter 	 చలికాలం 	(Calikālaṁ)	
wire 	 తీగ 	(Tīga)	
wise 	 తెలివైనవాడు 	(Telivainavāḍu)	
wish 	 కోరిక 	(Kōrika)	
with 	 తో 	(Tō)	
withdraw 	 ఉపసంహరించుకోండి 	(Upasanharin̄cukōṇḍi)	
within 	 లోపల 	(Lōpala)	
without 	 లేకుండా 	(Lēkuṇḍā)	
witness 	 సాక్షి 	(Sākṣi)	
woman 	 స్త్రీ 	(Strī)	
wonder 	 ఆశ్చర్యం 	(Āścaryaṁ)	
wonderful 	 అద్భుతమైన 	(Adbhutamaina)	
wood 	 చెక్క 	(Cekka)	
wooden 	 చెక్క 	(Cekka)	
wool 	 ఉన్ని 	(Unni)	
word 	 పదం 	(Padaṁ)	
work 	 పని 	(Pani)	
worker 	 కార్మికుడు 	(Kārmikuḍu)	
working 	 పని చేస్తున్నారు 	(Pani cēstunnāru)	
work out 	 పని చేయండి 	(Pani cēyaṇḍi)	
world 	 ప్రపంచం 	(Prapan̄caṁ)	
worried 	 ఆందోళన చెందాడు 	(Āndōḷana cendāḍu)	
worry 	 ఆందోళన 	(Āndōḷana)	
worrying 	 చింతిస్తూ 	(Cintistū)	
worse 	 అధ్వాన్నంగా 	(Adhvānnaṅgā)	
worship 	 పూజించండి 	(Pūjin̄caṇḍi)	
worst 	 చెత్త 	(Cetta)	
worth 	 విలువ 	(Viluva)	
would 	 ఉంటుంది 	(Uṇṭundi)	
wound 1 	 గాయం 1 	(Gāyaṁ 1)	
wounded 	 గాయపడ్డాడు 	(Gāyapaḍḍāḍu)	
wrap 	 చుట్టు 	(Cuṭṭu)	
wrapping 	 చుట్టడం 	(Cuṭṭaḍaṁ)	
wrist 	 మణికట్టు 	(Maṇikaṭṭu)	
write 	 వ్రాయండి 	(Vrāyaṇḍi)	
write back 	 తిరిగి వ్రాయండి 	(Tirigi vrāyaṇḍi)	
write down 	 వ్రాయండి 	(Vrāyaṇḍi)	
writer 	 రచయిత 	(Racayita)	
writing 	 రాయడం 	(Rāyaḍaṁ)	
written 	 వ్రాయబడింది 	(Vrāyabaḍindi)	
wrong 	 తప్పు 	(Tappu)	
wrongly 	 తప్పుగా 	(Tappugā)	
yard 	 యార్డ్ 	(Yārḍ)	
yawn 	 ఆవలించు 	(Āvalin̄cu)	
yeah 	 అవును 	(Avunu)	
year 	 సంవత్సరం 	(Sanvatsaraṁ)	
yellow 	 పసుపు 	(Pasupu)	
yes 	 అవును 	(Avunu)	
